,$,main,par_init,par_fin,key_init,key_fin,id,break_line,comma,number,texto,char,true,false,oper_asign,if,else,while,for,return,not,input,break,output,oper_suma,oper_dif,oper_mod,oper_div,oper_mult,and,or,oper_identico,oper_diferente,oper_mayor,oper_menor,oper_menorigu,oper_mayorigu,character,boolean,string,integer
VAR_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAR_DECL ::= TYPE_SPEC id ASIGN_STAT break_line,VAR_DECL ::= TYPE_SPEC id ASIGN_STAT break_line,VAR_DECL ::= TYPE_SPEC id ASIGN_STAT break_line,VAR_DECL ::= TYPE_SPEC id ASIGN_STAT break_line
FUN_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUN_DECL ::= TYPE_SPEC id par_init ARGS par_fin key_init BLOQUE key_fin,FUN_DECL ::= TYPE_SPEC id par_init ARGS par_fin key_init BLOQUE key_fin,FUN_DECL ::= TYPE_SPEC id par_init ARGS par_fin key_init BLOQUE key_fin,FUN_DECL ::= TYPE_SPEC id par_init ARGS par_fin key_init BLOQUE key_fin
ARGS,,,,ARGS ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGS ::= TYPE_SPEC id MARGS,ARGS ::= TYPE_SPEC id MARGS,ARGS ::= TYPE_SPEC id MARGS,ARGS ::= TYPE_SPEC id MARGS
MARGS,,,,MARGS ::= ε,,,,,MARGS ::= comma TYPE_SPEC id MARGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIGN_STAT,,,,,,,,ASIGN_STAT ::= ε,,,,,,,ASIGN_STAT ::= oper_asign EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,
IF_STAT,,,,,,,,,,,,,,,,IF_STAT ::= if par_init NEG LOGIC_EXPR par_fin key_init BLOQUE key_fin ELIF,,,,,,,,,,,,,,,,,,,,,,,,,
ELIF,,,,,,ELIF ::= ε,ELIF ::= ε,,,,,,,,,ELIF ::= ε,ELIF ::= else key_init BLOQUE key_fin,ELIF ::= ε,ELIF ::= ε,ELIF ::= ε,,ELIF ::= ε,ELIF ::= ε,ELIF ::= ε,,,,,,,,,,,,,,ELIF ::= ε,ELIF ::= ε,ELIF ::= ε,ELIF ::= ε
WHILE_STAT,,,,,,,,,,,,,,,,,,WHILE_STAT ::= while par_init NEG LOGIC_EXPR par_fin key_init BLOQUE key_fin,,,,,,,,,,,,,,,,,,,,,,,
FOR_STAT,,,,,,,,,,,,,,,,,,,FOR_STAT ::= for par_init TYPE_SPEC id oper_asign VALOR_PARAM comma NEG LOGIC_EXPR comma id oper_asign id OP_ARITM number par_fin key_init BLOQUE key_fin,,,,,,,,,,,,,,,,,,,,,,
RETURN_STAT,,,,,,,,,,,,,,,,,,,,RETURN_STAT ::= return ORETURN_STAT break_line,,,,,,,,,,,,,,,,,,,,,
ORETURN_STAT,,,,,,,ORETURN_STAT ::= EXPR,ORETURN_STAT ::= ε,,ORETURN_STAT ::= EXPR,ORETURN_STAT ::= EXPR,ORETURN_STAT ::= EXPR,ORETURN_STAT ::= EXPR,ORETURN_STAT ::= EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG,,,,,,,NEG ::= ε,,,NEG ::= ε,NEG ::= ε,NEG ::= ε,NEG ::= ε,NEG ::= ε,,,,,,,NEG ::= not,,,,,,,,,,,,,,,,,,,,
INPUT_STAT,,,,,,,,,,,,,,,,,,,,,,INPUT_STAT ::= input par_init id par_fin,,,,,,,,,,,,,,,,,,,
BREAK_STAT,,,,,,,,,,,,,,,,,,,,,,,BREAK_STAT ::= break break_line,,,,,,,,,,,,,,,,,,
OUT_STAT,,,,,,,,,,,,,,,,,,,,,,,,OUT_STAT ::= output par_init SALIDA par_fin,,,,,,,,,,,,,,,,,
SALIDA,,,,,,,SALIDA ::= EXPR,,,SALIDA ::= EXPR,SALIDA ::= EXPR,SALIDA ::= EXPR,SALIDA ::= EXPR,SALIDA ::= EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP_ARITM,,,,,,,,,,,,,,,,,,,,,,,,,OP_ARITM ::= oper_suma,OP_ARITM ::= oper_dif,OP_ARITM ::= oper_mod,OP_ARITM ::= oper_div,OP_ARITM ::= oper_mult,,,,,,,,,,,,
OP_LOGIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OP_LOGIC ::= and,OP_LOGIC ::= or,OP_LOGIC ::= oper_identico,OP_LOGIC ::= oper_diferente,OP_LOGIC ::= oper_mayor,OP_LOGIC ::= oper_menor,OP_LOGIC ::= oper_menorigu,OP_LOGIC ::= oper_mayorigu,,,,
EXPR,,,,,,,EXPR ::= VALOR_PARAM TIP_EXP,,,EXPR ::= VALOR_PARAM TIP_EXP,EXPR ::= VALOR_PARAM TIP_EXP,EXPR ::= VALOR_PARAM TIP_EXP,EXPR ::= VALOR_PARAM TIP_EXP,EXPR ::= VALOR_PARAM TIP_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIP_EXP,,,,TIP_EXP ::= ARITM_EXPR,,,TIP_EXP ::= LOGIC_EXPR,TIP_EXP ::= ARITM_EXPR,,TIP_EXP ::= LOGIC_EXPR,TIP_EXP ::= LOGIC_EXPR,TIP_EXP ::= LOGIC_EXPR,TIP_EXP ::= LOGIC_EXPR,TIP_EXP ::= LOGIC_EXPR,,,,,,,,,,,TIP_EXP ::= ARITM_EXPR,TIP_EXP ::= ARITM_EXPR,TIP_EXP ::= ARITM_EXPR,TIP_EXP ::= ARITM_EXPR,TIP_EXP ::= ARITM_EXPR,,,,,,,,,,,,
ARITM_EXPR,,,,ARITM_EXPR ::= EXP_EXTRA,,,,ARITM_EXPR ::= EXP_EXTRA,,,,,,,,,,,,,,,,,ARITM_EXPR ::= EXP_EXTRA,ARITM_EXPR ::= EXP_EXTRA,ARITM_EXPR ::= EXP_EXTRA,ARITM_EXPR ::= EXP_EXTRA,ARITM_EXPR ::= EXP_EXTRA,,,,,,,,,,,,
EXP_EXTRA,,,,EXP_EXTRA ::= ε,,,,EXP_EXTRA ::= ε,,,,,,,,,,,,,,,,,EXP_EXTRA ::= OP_ARITM VALOR_PARAM EXP_EXTRA,EXP_EXTRA ::= OP_ARITM VALOR_PARAM EXP_EXTRA,EXP_EXTRA ::= OP_ARITM VALOR_PARAM EXP_EXTRA,EXP_EXTRA ::= OP_ARITM VALOR_PARAM EXP_EXTRA,EXP_EXTRA ::= OP_ARITM VALOR_PARAM EXP_EXTRA,,,,,,,,,,,,
LOGIC_EXPR,,,,,,,LOGIC_EXPR ::= VALOR_PARAM OP_LOGIC VALOR_PARAM,,,LOGIC_EXPR ::= VALOR_PARAM OP_LOGIC VALOR_PARAM,LOGIC_EXPR ::= VALOR_PARAM OP_LOGIC VALOR_PARAM,LOGIC_EXPR ::= VALOR_PARAM OP_LOGIC VALOR_PARAM,LOGIC_EXPR ::= VALOR_PARAM OP_LOGIC VALOR_PARAM,LOGIC_EXPR ::= VALOR_PARAM OP_LOGIC VALOR_PARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPE_SPEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_SPEC ::= character,TYPE_SPEC ::= boolean,TYPE_SPEC ::= string,TYPE_SPEC ::= integer
STAT,,,,,,,,,,,,,,,,STAT ::= IF_STAT,,STAT ::= WHILE_STAT,STAT ::= FOR_STAT,STAT ::= RETURN_STAT,,STAT ::= INPUT_STAT,STAT ::= BREAK_STAT,STAT ::= OUT_STAT,,,,,,,,,,,,,,,,,
